A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF
0.0012476,1.88E-05,0.0011352,-0.00086214,0.0002143,0.00047703,0.00047631,-0.00032659,0.0011759,-0.00023502,-0.0013931,-6.26E-05,0.00051292,0.00016895,-0.00027804,5.64E-09,8.82E-10,6.58E-09,4.73E-09,2.42E-09,3.41E-09,3.37E-09,9.26E-09,6.36E-09,1.08E-09,9.10E-09,1.57E-09,8.05E-09,5.51E-09,2.57E-09,-0.00078503,1
-0.00013361,-0.0003297,0.00048348,-3.89E-05,0.00030736,0.00059738,-0.00059513,0.0009475,-8.61E-05,0.0013632,-3.13E-05,-0.0001698,0.00018906,-0.00095652,-0.00071695,2.85E-09,2.43E-09,9.36E-09,9.92E-09,1.47E-09,8.38E-09,7.93E-09,7.06E-09,4.01E-09,8.68E-11,4.05E-09,4.58E-09,7.18E-09,5.51E-09,2.91E-09,0.00011421,1
0.0003144,-0.00029281,0.000304,-0.00016044,0.00087843,-0.00030387,-0.0022083,0.00062357,-0.0011592,5.27E-05,-0.00044942,0.00073823,0.0005649,0.000876,0.0006524,7.35E-09,5.42E-09,4.33E-09,6.01E-09,1.07E-09,6.49E-09,5.61E-10,6.83E-09,1.87E-09,5.72E-09,2.58E-09,8.27E-09,7.54E-09,1.09E-10,3.54E-09,0.0001377,1
5.47E-05,0.00072673,-0.00030571,-0.00084388,0.00048806,0.0010013,0.0010898,-0.00065824,-0.0011324,-0.00031539,0.00038622,0.0009513,0.0005869,0.00045128,-0.00077101,5.78E-10,4.72E-10,6.82E-09,4.40E-09,7.99E-10,9.24E-09,7.56E-09,3.85E-09,1.29E-09,2.21E-09,4.74E-10,7.43E-09,4.75E-09,8.97E-09,8.92E-09,0.0010287,1
-0.00030848,8.08E-05,0.0004475,-0.00024819,-0.0007137,0.00028075,0.00081409,0.00080545,-0.0011029,0.00013431,0.00032696,-0.00029679,0.0011041,0.00010714,-0.00032475,1.61E-09,3.61E-11,4.16E-09,5.49E-09,8.71E-09,1.40E-09,4.32E-10,7.64E-10,9.11E-09,3.60E-09,7.92E-09,6.14E-09,1.16E-09,6.52E-09,9.13E-09,0.0011348,0
-0.00021801,0.00090704,0.00046001,0.00065301,-0.00038309,-9.55E-05,0.00046563,-0.00056565,0.00049714,6.70E-05,0.00025508,0.00082358,0.00080147,0.00061874,-0.00010047,2.07E-09,9.77E-09,3.00E-09,9.73E-09,9.78E-09,8.30E-09,8.38E-09,3.86E-09,2.85E-09,2.14E-09,6.77E-09,2.35E-10,1.24E-10,1.11E-10,8.36E-09,0.0010054,0
0.00039094,0.0012951,0.00036073,3.34E-05,-0.00079291,-0.00051334,-0.00064494,-0.000751,1.34E-05,-0.00027631,0.00087754,0.00062258,0.00012371,-0.00021741,-0.00079489,2.64E-09,8.81E-09,5.30E-09,3.95E-09,1.37E-09,3.44E-10,6.94E-09,8.47E-09,9.14E-09,4.81E-09,3.36E-09,6.68E-09,7.77E-09,2.73E-09,1.72E-09,0.0010075,0
-0.00083264,-0.00064643,0.001241,0.00058468,0.00010147,0.0002558,0.00026971,0.00029034,-0.00063461,0.00096144,-0.00035974,0.00029755,0.00030073,-0.00025843,0.00070028,1.17E-09,9.23E-09,4.09E-09,2.59E-09,2.71E-09,8.53E-10,9.56E-10,6.04E-09,4.66E-09,2.43E-09,8.16E-09,4.42E-09,9.70E-09,7.51E-10,3.36E-09,-0.00016892,1
0.00060535,0.00033727,0.00068988,-0.00025211,-0.00053981,-5.19E-05,3.79E-05,-0.0011666,0.00055474,0.00070432,-9.39E-05,-0.00035816,-0.00014995,-0.00057219,0.0015721,2.99E-09,1.28E-09,3.11E-09,2.75E-09,2.15E-09,6.97E-09,6.00E-09,7.33E-09,3.09E-10,2.31E-09,7.25E-09,9.76E-09,6.50E-09,2.94E-09,7.81E-09,-0.00022332,1
-0.0010048,-0.0011597,-0.00044483,-0.00041992,-2.90E-05,0.00070926,0.00158,0.00095413,-0.00033751,0.00010262,0.00062538,-0.00044073,0.0011565,-0.00070702,0.00095764,2.02E-09,4.07E-09,4.73E-09,8.44E-10,9.87E-09,3.40E-09,5.41E-09,5.78E-10,6.78E-09,8.32E-09,9.29E-09,3.53E-09,1.10E-09,3.49E-09,3.65E-09,0.0013221,1
-0.00062248,0.00019067,-0.00034386,-0.00094524,-7.96E-06,4.38E-05,0.002025,0.00074942,-0.00061474,1.47E-05,0.00045455,0.0018611,-1.87E-05,0.00012773,4.77E-05,2.09E-09,1.28E-09,2.72E-09,1.71E-09,9.45E-09,9.66E-10,4.01E-09,6.93E-09,7.50E-09,4.25E-09,8.72E-10,8.18E-09,6.10E-09,9.67E-09,9.66E-09,0.00042293,0
0.00066577,-0.00055017,0.00044916,0.00045127,0.0001042,-0.00029193,7.66E-05,-0.00026021,-0.00072231,0.0006105,-0.0010791,0.00041686,-0.00064531,0.00039566,0.00035885,5.60E-09,4.02E-09,5.24E-09,7.81E-09,4.08E-09,7.05E-09,6.24E-09,2.14E-09,4.21E-09,5.98E-09,7.68E-09,1.25E-09,5.03E-09,2.30E-09,9.39E-09,-0.0015874,1
0.00078797,-0.00017493,0.00083844,-0.000517,0.0014302,-0.00049897,-0.0002512,-0.0010071,0.00022843,0.00020415,-0.00035393,-0.00093747,-0.00085951,-0.00024491,-0.00078778,5.78E-09,9.16E-09,2.42E-09,8.38E-09,8.08E-09,3.93E-09,4.88E-10,6.92E-09,5.04E-10,5.42E-09,9.38E-10,1.70E-09,5.60E-09,4.80E-09,4.39E-09,-0.00087454,1
0.00023438,-0.00045816,0.00071008,0.00057938,-0.001201,0.00046696,-0.00069808,1.37E-05,0.00092516,0.00078793,0.00045211,-0.00019695,-1.60E-05,-0.00026292,-0.0010474,9.72E-09,3.63E-09,3.52E-09,4.76E-09,7.37E-09,9.85E-09,8.91E-09,4.46E-09,7.38E-09,1.41E-09,8.78E-09,1.79E-09,5.16E-09,6.39E-10,9.62E-09,0.00015037,0
-0.00016277,-1.43E-05,0.00091855,0.0010435,0.0013878,-0.00030094,0.0011797,-0.0013088,-0.00057665,0.00081442,0.00068476,-0.0014644,-0.00070552,0.0007346,0.0016293,9.91E-09,7.80E-09,5.39E-09,6.07E-09,7.95E-09,3.50E-09,2.21E-09,6.23E-09,2.15E-09,2.71E-09,2.72E-09,4.89E-09,4.01E-09,6.95E-09,4.53E-09,0.00020611,1
-0.001147,-0.00081875,0.00042736,-1.02E-05,-0.0001047,-0.00026317,-0.0002226,4.84E-05,0.00094187,0.0002421,-0.00096602,-0.0003631,0.00028303,0.00068982,-0.00030468,5.86E-09,3.08E-09,2.90E-10,4.14E-09,1.71E-09,7.01E-09,3.01E-09,9.06E-10,5.05E-09,2.89E-09,8.80E-09,6.76E-09,1.45E-10,4.40E-09,4.84E-09,-0.00078385,1
-0.00021849,0.00031709,0.00019836,-0.00019216,-0.0017743,0.00036349,0.00014727,0.00048381,0.00057326,-0.00035215,-0.00075905,0.0015977,0.0010404,0.0001469,-0.00072966,2.63E-09,4.01E-09,7.97E-09,7.80E-09,9.33E-09,8.92E-09,5.75E-09,4.09E-09,6.92E-09,9.34E-09,7.47E-11,3.86E-09,2.79E-09,3.14E-09,6.85E-09,8.63E-06,1
0.00099564,0.00077169,0.00028724,0.00024779,8.94E-06,-0.00088807,-0.0011595,-0.00049439,-0.00095576,-0.000553,-1.07E-06,-0.00063814,-0.00074602,0.0016785,1.28E-05,6.78E-09,9.37E-09,2.98E-09,9.52E-09,2.41E-09,4.18E-09,7.39E-09,4.28E-09,8.23E-09,4.39E-09,8.18E-09,8.35E-09,7.99E-09,1.57E-09,8.17E-09,-0.00049014,1
0.00055387,-0.0011493,-0.00069857,-0.00017459,0.00041415,-0.00016031,-0.00060476,-0.00046222,0.00097273,0.00045407,0.0019401,-0.00014032,-0.00037082,0.00044756,-0.0011261,8.32E-09,3.09E-09,9.25E-09,8.46E-09,5.09E-10,4.22E-09,7.35E-09,5.03E-09,8.53E-09,5.98E-10,7.00E-09,3.87E-09,3.57E-09,7.24E-09,1.12E-09,0.0012815,0
-0.00069991,-0.0011195,-0.00023988,-0.0011773,0.00069544,0.0001988,-0.0011281,0.00014237,0.00091379,-0.00024259,-0.00062116,-0.00050935,0.00025053,0.00042739,-0.00067592,4.93E-09,8.59E-09,7.22E-09,1.87E-09,6.42E-09,2.45E-09,5.47E-09,8.04E-09,8.34E-09,1.81E-09,7.26E-09,4.13E-09,3.16E-09,1.45E-09,9.73E-09,-0.00044718,0
-0.00066241,-0.00049378,-0.00022766,0.00082976,0.00025721,1.90E-05,4.40E-05,0.00025335,0.00099164,0.00060136,0.00080936,0.0013906,0.00073402,-0.00025403,8.25E-05,1.57E-09,4.80E-09,1.00E-09,7.31E-09,3.89E-09,3.92E-09,1.40E-09,8.74E-09,2.72E-09,6.61E-09,2.00E-09,5.63E-10,7.90E-09,7.40E-09,9.06E-09,0.0012874,0
-0.0007364,0.00034317,-0.0009007,-0.00085825,-9.03E-05,0.00065825,-0.00081055,0.0010574,-0.00045836,5.18E-05,0.00014341,0.0008541,0.0014838,8.88E-05,2.25E-05,5.16E-09,3.27E-09,7.65E-10,8.50E-09,3.58E-09,4.15E-09,6.51E-09,2.22E-09,3.55E-09,6.63E-09,2.15E-09,7.22E-09,2.20E-09,6.79E-09,4.66E-09,0.0014179,1
9.70E-05,-0.0002043,-0.00042563,-0.00025256,0.00046314,-0.00016082,0.00049549,-0.0011704,0.00071498,0.00043977,0.00014575,0.00061271,-0.0013741,0.00048593,0.00099958,7.91E-09,1.06E-09,8.22E-09,7.08E-09,8.98E-09,1.97E-09,6.43E-09,8.32E-09,3.98E-09,4.18E-09,5.23E-09,9.00E-09,3.22E-09,1.20E-09,2.29E-09,-0.00099289,0
0.00019744,-0.00039402,-0.00074972,0.00028343,0.00017511,3.60E-05,0.0011444,-4.02E-05,0.00011219,0.00023044,-0.00039839,0.00058544,-0.00027066,-0.0015174,-0.00073575,4.55E-09,8.31E-11,6.70E-09,8.22E-09,2.48E-09,3.64E-09,2.05E-09,1.80E-09,1.85E-09,9.18E-09,7.87E-09,4.62E-09,8.18E-09,4.31E-09,9.31E-09,-0.00062794,0
-0.00077886,-0.00039995,-0.00128,0.00058242,-0.00040978,-0.00098903,-0.00041068,0.00018289,0.0001975,0.00012243,-0.00099526,0.00053397,-0.00093413,-0.00033976,-0.00080819,4.38E-09,9.58E-09,1.82E-09,1.34E-09,9.40E-10,7.44E-09,2.57E-09,9.89E-09,8.59E-09,4.58E-09,8.08E-09,6.77E-09,4.29E-09,4.85E-09,7.06E-09,-0.0017968,0
-0.00031222,-0.00012445,6.88E-05,-0.0013592,0.00020666,-0.00062064,-0.00038536,0.001719,0.00068557,-0.0011652,9.80E-05,-0.00020542,0.00029654,-0.00064424,-6.06E-05,3.05E-10,7.67E-10,6.34E-09,8.37E-09,4.73E-09,3.03E-09,8.90E-09,9.88E-09,9.66E-09,8.45E-09,4.20E-09,2.16E-09,7.45E-09,6.28E-09,5.22E-09,0.00034218,1
-0.00020881,0.0013647,-0.00011328,0.00011606,0.00065564,-0.00033199,-0.00018079,-0.0014255,-0.00088117,0.00089992,0.00010782,0.00013919,0.00039851,0.00050587,-4.43E-06,4.80E-09,7.90E-09,8.06E-09,6.25E-09,9.38E-10,4.05E-10,4.15E-09,9.31E-09,4.50E-09,7.48E-10,2.75E-09,8.56E-09,8.05E-09,8.68E-09,6.78E-10,0.00075527,0
0.0010179,0.00052903,-2.73E-05,-0.0013558,-1.31E-05,0.00033724,-0.00056734,-0.00025425,-0.0010126,-0.0013675,-0.00102,-0.00036421,-0.00085839,-0.00022138,-6.94E-05,6.97E-09,7.02E-09,9.24E-09,5.12E-09,6.01E-10,2.85E-09,3.99E-10,4.85E-09,2.30E-09,7.99E-09,8.83E-09,1.57E-09,4.96E-09,8.05E-09,9.60E-09,-0.001541,1
0.00078458,-0.0010151,-0.00012218,-0.00012903,0.0012072,-0.00054621,-0.00026231,0.0002743,-4.37E-05,-0.0009456,-0.00044464,-0.00051303,-0.0013003,0.0007819,0.00036541,3.52E-09,8.02E-10,9.12E-10,6.71E-10,9.82E-09,3.03E-09,8.58E-09,5.23E-09,3.30E-09,8.30E-09,3.31E-09,8.50E-09,3.24E-09,5.54E-09,1.79E-09,-0.0015006,1
0.0015436,-0.00045501,-0.00015374,-0.00083421,0.0001342,-0.0010763,0.001185,0.0003929,0.00021567,-8.02E-05,0.0011748,-0.00065233,0.00032375,-0.00022101,-0.00047975,1.07E-09,7.88E-09,5.60E-09,2.15E-09,7.40E-09,8.33E-10,9.82E-09,4.42E-09,3.51E-09,9.30E-09,3.77E-09,7.49E-09,7.51E-09,6.70E-09,2.41E-09,0.001261,1
-0.00047776,-6.93E-05,0.00098713,-0.00045547,0.00038875,-0.00038929,-0.0001892,-0.00028739,0.00084893,0.00025925,0.00024288,-0.00043464,0.00034627,0.00019293,-0.0002979,2.23E-09,5.64E-09,7.48E-09,5.23E-09,2.28E-09,1.35E-09,4.17E-09,5.91E-09,3.55E-09,1.06E-09,2.51E-09,9.99E-09,9.97E-09,8.36E-09,5.40E-10,0.00054718,1
0.0012058,0.00093301,-0.00013477,-0.0009461,-0.00038293,0.00049754,-0.00032998,0.00023238,-0.0004246,0.00024078,-0.00080905,6.71E-05,6.38E-05,-0.00032206,0.0006658,9.45E-09,2.70E-09,4.60E-09,4.23E-09,3.64E-09,4.23E-09,9.62E-09,9.51E-09,2.56E-09,3.87E-09,1.28E-10,1.02E-09,4.29E-09,1.76E-09,7.12E-09,-0.00055981,0
-0.0014067,0.00070087,0.0010322,-0.00089785,-0.00030706,-0.00045299,-0.00067429,0.0013504,0.00058789,8.93E-05,6.39E-05,0.00015816,0.00053567,-0.00062215,-0.00013274,6.79E-09,1.21E-09,8.10E-09,2.48E-09,8.04E-09,7.66E-09,2.46E-09,8.73E-09,8.78E-09,3.84E-09,4.33E-09,8.51E-09,6.03E-10,9.04E-09,1.08E-09,0.00058612,1
-0.00032009,-9.18E-05,-0.00099156,0.00017368,0.00024043,0.00066349,0.00037709,-0.00012301,-0.00038642,0.0014868,-0.00052991,0.00036907,0.00085772,0.0010199,0.00043259,2.14E-10,3.22E-10,5.28E-09,1.44E-09,8.47E-09,7.39E-09,7.50E-09,9.43E-09,8.01E-09,4.11E-09,1.25E-09,8.86E-09,3.22E-09,3.30E-09,1.82E-09,0.00025996,0
0.00091913,-2.08E-05,0.00025948,0.00062768,-0.00060844,0.0013078,0.00070924,0.0011863,-0.00038208,5.82E-05,0.0002225,0.0002771,0.00046307,2.80E-05,0.0005613,7.80E-09,6.86E-09,6.47E-10,5.70E-09,1.32E-09,5.23E-09,5.95E-09,5.36E-09,7.60E-09,7.59E-09,6.81E-09,5.62E-09,9.42E-09,5.74E-09,4.20E-09,0.00050138,1
-0.00018479,0.00052417,-0.00051239,0.00022678,0.00089604,6.69E-05,-0.00018335,-0.0005848,-0.00055313,-0.00045613,0.0010917,0.0005973,0.00058786,-0.00071916,0.00013923,2.18E-09,4.32E-09,1.08E-09,8.46E-09,1.26E-09,5.04E-09,6.74E-09,1.95E-09,4.58E-09,9.76E-09,3.28E-09,5.34E-09,5.34E-09,8.46E-09,6.07E-09,0.0016801,1
-3.76E-05,-0.0011233,-0.00030668,-0.00076864,0.00026185,0.00028422,-0.00073029,0.00015194,-0.0012346,-0.0010463,-0.00012594,0.00024547,-0.00018996,0.00069164,0.00026191,1.09E-09,9.60E-10,1.35E-09,5.60E-09,4.47E-10,7.63E-10,4.14E-09,6.43E-09,2.08E-09,3.06E-09,7.09E-09,1.27E-09,9.06E-09,7.82E-09,5.75E-09,-0.00043174,0
6.50E-05,-0.00063014,-0.00038848,-7.73E-05,0.00092471,-0.00083462,-7.61E-05,9.93E-05,-0.00017749,0.00034772,-0.00041825,-0.00027263,-1.22E-06,-0.00046651,0.00094824,9.08E-10,2.57E-09,7.88E-09,1.66E-09,4.26E-09,7.13E-09,5.29E-09,3.11E-09,3.11E-10,7.30E-09,5.87E-09,1.66E-09,9.54E-09,1.43E-09,1.30E-09,-0.0003605,0
0.00058601,-0.00056402,-0.00073541,-3.07E-05,0.00043579,0.00063914,-0.0003651,0.00014423,-0.00044939,4.11E-05,-0.00088926,-0.0001324,0.00040861,-0.0007161,2.86E-05,5.03E-09,8.42E-09,7.94E-09,9.44E-09,6.62E-10,3.02E-09,3.68E-09,4.02E-10,3.41E-09,6.72E-10,9.65E-09,5.23E-09,5.23E-09,8.83E-09,1.23E-09,-0.00049302,0
0.00021875,-0.00063329,-0.0002457,0.00051192,-0.0014678,0.00039988,0.00016386,0.0003169,-0.00064527,0.00032706,-0.00075597,5.50E-06,-0.000232,-0.00051,0.00091083,9.11E-09,3.57E-09,7.38E-09,9.01E-09,7.00E-09,5.71E-09,3.75E-09,5.21E-09,5.37E-09,5.24E-10,3.88E-09,2.34E-10,6.60E-09,4.43E-09,9.59E-09,-0.0011778,1
0.00014595,-0.00035084,0.00026393,0.00031233,0.00041822,0.00012788,0.0003251,-0.00054608,-4.17E-05,-0.00011396,-0.00072169,0.00047059,0.00027377,0.00026877,0.0011175,7.16E-09,8.47E-09,4.78E-09,8.12E-10,9.71E-09,1.27E-09,8.65E-10,5.57E-09,5.62E-09,5.16E-09,3.96E-09,9.94E-10,2.75E-09,8.08E-09,7.26E-09,-0.00042148,1
-0.00026341,0.00035586,-0.0012712,0.0014308,-0.00014537,-0.00053059,-0.00034532,0.0006312,-0.00023469,0.0014326,0.00016206,-0.00015771,0.00048084,-9.87E-06,-0.00081689,7.97E-09,9.47E-09,1.85E-09,4.55E-09,6.23E-09,9.47E-09,1.59E-09,3.10E-09,2.77E-09,9.10E-09,2.97E-09,4.90E-09,7.74E-09,4.70E-10,8.18E-09,0.00058973,1
-0.00085972,0.00062101,-0.0012104,-5.74E-05,0.00096864,0.0003416,0.00021398,0.00020161,0.00024939,0.00027874,7.99E-05,-7.11E-05,-0.00045343,0.00087442,0.00039784,9.57E-09,4.52E-09,3.13E-09,1.59E-09,5.59E-09,5.49E-09,1.62E-09,6.76E-09,4.31E-09,6.27E-09,4.53E-09,9.45E-09,1.31E-09,2.83E-09,8.75E-09,-6.99E-05,0
-0.0003681,0.00072212,0.00077221,-0.00054663,-6.68E-05,-0.00039103,0.00061721,-0.00020154,0.0001241,0.0014726,0.00014452,0.00032917,0.00017681,0.00028967,-0.00046603,4.30E-09,2.75E-09,2.50E-09,9.19E-09,5.35E-09,3.96E-09,4.67E-09,2.16E-09,9.79E-09,6.66E-09,1.16E-09,9.48E-09,3.16E-10,6.07E-09,1.93E-10,0.00039377,0
